year,industry,symbol,currentRatio,currentRatio_percentage_change,quickRatio,quickRatio_percentage_change,cashRatio,cashRatio_percentage_change,daysOfSalesOutstanding,daysOfSalesOutstanding_percentage_change,daysOfInventoryOutstanding,daysOfInventoryOutstanding_percentage_change,operatingCycle,operatingCycle_percentage_change,daysOfPayablesOutstanding,daysOfPayablesOutstanding_percentage_change,cashConversionCycle,cashConversionCycle_percentage_change,grossProfitMargin,grossProfitMargin_percentage_change,operatingProfitMargin,operatingProfitMargin_percentage_change,pretaxProfitMargin,pretaxProfitMargin_percentage_change,netProfitMargin,netProfitMargin_percentage_change,effectiveTaxRate,effectiveTaxRate_percentage_change,returnOnAssets,returnOnAssets_percentage_change,returnOnEquity,returnOnEquity_percentage_change,returnOnCapitalEmployed,returnOnCapitalEmployed_percentage_change,netIncomePerEBT,netIncomePerEBT_percentage_change,ebtPerEbit,ebtPerEbit_percentage_change,ebitPerRevenue,ebitPerRevenue_percentage_change,debtRatio,debtRatio_percentage_change,debtEquityRatio,debtEquityRatio_percentage_change,longTermDebtToCapitalization,longTermDebtToCapitalization_percentage_change,totalDebtToCapitalization,totalDebtToCapitalization_percentage_change,interestCoverage,interestCoverage_percentage_change,cashFlowToDebtRatio,cashFlowToDebtRatio_percentage_change,companyEquityMultiplier,companyEquityMultiplier_percentage_change,receivablesTurnover,receivablesTurnover_percentage_change,payablesTurnover,payablesTurnover_percentage_change,inventoryTurnover,inventoryTurnover_percentage_change,fixedAssetTurnover,fixedAssetTurnover_percentage_change,assetTurnover,assetTurnover_percentage_change,operatingCashFlowPerShare,operatingCashFlowPerShare_percentage_change,freeCashFlowPerShare,freeCashFlowPerShare_percentage_change,cashPerShare,cashPerShare_percentage_change,payoutRatio,payoutRatio_percentage_change,operatingCashFlowSalesRatio,operatingCashFlowSalesRatio_percentage_change,freeCashFlowOperatingCashFlowRatio,freeCashFlowOperatingCashFlowRatio_percentage_change,cashFlowCoverageRatios,cashFlowCoverageRatios_percentage_change,shortTermCoverageRatios,shortTermCoverageRatios_percentage_change,capitalExpenditureCoverageRatio,capitalExpenditureCoverageRatio_percentage_change,dividendPaidAndCapexCoverageRatio,dividendPaidAndCapexCoverageRatio_percentage_change,dividendPayoutRatio,dividendPayoutRatio_percentage_change,priceBookValueRatio,priceBookValueRatio_percentage_change,priceToBookRatio,priceToBookRatio_percentage_change,priceToSalesRatio,priceToSalesRatio_percentage_change,priceEarningsRatio,priceEarningsRatio_percentage_change,priceToFreeCashFlowsRatio,priceToFreeCashFlowsRatio_percentage_change,priceToOperatingCashFlowsRatio,priceToOperatingCashFlowsRatio_percentage_change,priceCashFlowRatio,priceCashFlowRatio_percentage_change,priceEarningsToGrowthRatio,priceEarningsToGrowthRatio_percentage_change,priceSalesRatio,priceSalesRatio_percentage_change,dividendYield,dividendYield_percentage_change,enterpriseValueMultiple,enterpriseValueMultiple_percentage_change,priceFairValue,priceFairValue_percentage_change,interestRate,interestRate_percentage_change,adjDividend,dps_growth,dps_change_next_year
2012,Conglomerates,MMM,2.1983870967741934,999.0,1.3858064516129032,999.0,0.465,999.0,49.5674491706795,999.0,89.28944851769207,999.0,138.85689768837156,999.0,41.002868983104875,999.0,97.85402870526669,999.0,0.47548822899946497,999.0,0.21679373996789728,999.0,0.21237961476725523,999.0,0.14860888175494916,999.0,0.2897181546213195,999.0,0.13118431928208762,999.0,0.24634146341463414,999.0,0.23424627836392542,999.0,0.6997323256180129,999.0,0.979639055992596,999.0,0.21679373996789728,999.0,0.17714606210886763,999.0,0.33264966740576496,999.0,0.21414880641226694,999.0,0.2496152406305894,999.0,37.91228070175438,999.0,0.8831861356440593,999.0,1.8778270509977828,999.0,7.363703521300172,999.0,8.901816118047673,999.0,4.087829033098775,999.0,3.569348293148723,999.0,0.8827488487424725,999.0,7.637988182735264,999.0,5.49935149156939,999.0,6.529759331315751,999.0,0.36791179117911793,999.0,0.17723381487426432,999.0,0.72,999.0,0.8831861356440593,999.0,4.88479262672811,999.0,-3.5714285714285716,999.0,35.09933774834437,999.0,0.36791179117911793,999.0,2.9860009423503326,999.0,2.9860009423503326,999.0,1.8013462078651685,999.0,12.121389963996398,999.0,14.116209905660376,999.0,10.163671132075471,999.0,10.163671132075471,999.0,2.095268836633662,999.0,1.8013462078651685,999.0,0.030352277442761037,999.0,7.333091880066916,999.0,2.9860009423503326,999.0,0.11,-21.42857142857143,2.36,7.272727272727253,constant/increased
2013,Conglomerates,MMM,1.6981861829821285,-22.753086320695548,1.0122699386503067,-26.954450423278608,0.34422512670045347,-25.973091032160546,50.284895209095914,1.4474136765560974,87.56736619893208,-1.9286515342501698,137.852261408028,-0.7235047715081544,40.76958897305352,-0.5689358228749164,97.08267243497448,-0.7882723690564641,0.4782805869586343,0.5872612167592717,0.2159308088497295,-0.3980424519156034,0.21256195134592337,0.08585408673424944,0.15091833759839332,1.5540496746704324,0.28055470893020423,-3.1628828034931056,0.13886736214605067,5.856677769118179,0.25958324047247605,5.375374845262559,0.25587286964532474,9.232416170044843,0.7099969521487351,1.4669361632902111,0.9843984398439845,0.48583034968590066,0.2159308088497295,-0.3980424519156034,0.17910581222056632,1.1062905313098614,0.334800534878538,0.6465863890822376,0.19421747328724073,-9.307235215990673,0.25082439370538884,0.4844067500625382,45.97241379310345,21.259953086853155,0.9680479281078382,9.608596539153535,1.8692890572765768,-0.4546741254296771,7.258640959322831,-1.4267625206995205,8.952751528627015,0.5721912237220295,4.168219461697722,1.9665800097810715,3.5680767452612114,-0.03562409109674203,0.9201490312965723,4.236786330265807,8.530576330840299,11.686168225850647,6.0888693356797186,10.719770231345827,4.893679425135651,-25.05574590373807,0.37132431852328823,0.9275395423542943,0.1884292701888504,6.316771617497774,0.7137699845281072,-0.865279926651763,0.9680479281078382,9.608596539153535,3.4563279857397506,-29.2430968957051,-3.4936936936936935,-2.176576576576583,89.49230769230769,154.96865021770682,0.37132431852328823,0.9275395423542943,4.455069868509026,49.19854194695479,4.455069868509026,49.19854194695479,2.5901199831557125,43.788016531555265,17.16239407598197,41.58767374829648,19.25809104046243,36.425366080311974,13.745847343991748,35.244904772757835,13.745847343991748,35.244904772757835,2.554402839215923,21.912892253001925,2.5901199831557125,43.788016531555265,0.02163592776621652,-28.71728387756731,10.375462734851313,41.488241311339394,4.455069868509026,49.19854194695479,0.09,-18.181818181818187,2.54,7.6271186440677985,constant/increased
2014,Conglomerates,MMM,1.9614871623874626,15.504835809166684,1.1272090696898966,11.354592945123132,0.316272090696899,-8.120568150122098,48.611608686087806,-3.327612628106724,82.24539429683225,-6.077574481353687,130.85700298292005,-5.074460406857407,40.1018422812671,-1.637854853596299,90.75516070165295,-6.5176530215107835,0.4831400647371233,1.0160307382305112,0.2242229973916596,3.840206307799643,0.22079758649948147,3.8744634688432145,0.15574620533609881,3.198993452043486,0.2886421861656704,2.882673852206885,0.1584956346541303,14.13454695527092,0.37711155075331,45.27576975575032,0.28233944046535553,10.343640909142549,0.7053800170794193,-0.6502753364423741,0.9847231955150666,0.03299026673930783,0.2242229973916596,3.840206307799643,0.21865106015542551,22.079265571884264,0.5202404504641607,55.38817781545609,0.33870074976098224,74.39252196431157,0.34220931978577507,36.4338271610553,50.24647887323944,9.297021251420912,0.9691385110428551,0.11265794836714527,2.3793182164054176,27.28465975572112,7.508494572911751,3.4421541854610327,9.101826231322635,1.6651272205974177,4.437938478143551,6.4708448997062185,3.7484980563081636,5.056542331567582,1.0176532668137772,10.5965699251797,10.206407886629698,19.644998072765873,7.906654343807763,29.854229215860162,3.886321626617375,-20.584875121654544,0.44713478611783697,20.41624095508685,0.20822727129882782,10.506860791922179,0.7746755206761243,8.532936025361648,0.9691385110428551,0.11265794836714527,62.509433962264154,1708.5504101511183,-4.438044206296048,27.030146183306194,9.164591977869986,-89.75935226815285,0.44713478611783697,20.41624095508685,6.786417288084006,52.330210039000114,6.786417288084006,52.330210039000114,2.8027747713773925,8.210229240523015,17.995782082324453,4.8558959936060075,17.37523787258913,-9.776946032279676,13.460171445819498,-2.0782705570866034,13.460171445819498,-2.0782705570866034,1.53638989527845,-39.85326544069898,2.8027747713773925,8.210229240523015,0.02484664373420119,14.83974249996367,11.018037691677396,6.193217336395662,6.786417288084006,52.330210039000114,0.13,44.444444444444464,3.42,34.645669291338585,constant/increased
2015,Conglomerates,MMM,1.5434110705254285,-21.314240535388695,0.8527676313571227,-24.346986349947908,0.2525990446754706,-20.13236320698616,50.082909427231286,3.026644830136127,83.4733146980433,1.4929959442827379,133.55622412527458,2.062725785265651,40.19437040889294,0.2307328600438252,93.36185371638165,2.87222566141212,0.4918742154984475,1.8077885480427769,0.2294378014137544,2.325722197436275,0.22537490916297814,2.073085460790325,0.15964193697562265,2.501333262737848,0.29048805510772385,0.6395007488593452,0.1477168531083807,-6.800680390517433,0.41142419341108366,9.098804475554111,0.271328125,-3.900027373861248,0.7083394401289755,0.41955016840560244,0.9822919665994817,-0.24689465289920998,0.2294378014137544,2.325722197436275,0.330001833852925,50.926244591884014,0.9191282880735507,76.67374523713038,0.42697560975609755,26.062788481398403,0.47893009226401706,39.95238135648378,46.61744966442953,-7.222454767358199,0.594609613781606,-38.645548906959846,2.785221758746914,17.05965765918944,7.287915262397689,-2.9377301717689375,9.080873671782763,-0.23020170905665438,4.372654917566799,-1.471033474174277,3.5553728714034056,-5.152068428573864,0.9253010575218534,-9.075017228714255,10.262148337595908,0.5461319161977674,7.926790281329923,0.2546707702978157,3.0626598465473145,-21.19386554187409,0.5298986136974964,18.5098163124906,0.21206315650393076,1.8421627393839568,0.7724299065420561,-0.2898780294629977,0.594609613781606,-38.645548906959846,3.1409001956947162,-94.97531812943495,-4.394250513347022,-0.9867791061409004,5.836363636363636,-36.31616496995308,0.5298986136974964,18.5098163124906,6.707612156295225,-1.1612184816155002,6.707612156295225,-1.1612184816155002,2.6027059523023057,-7.138241043063376,16.30339747568798,-9.404340410960755,15.889155071587014,-8.552877444898366,12.273258566978193,-8.817962561761728,12.273258566978193,-8.817962561761728,12.439492273949913,709.6572564150731,2.6027059523023057,-7.138241043063376,0.0325023428084664,30.811803622906254,10.475279799546593,-4.926084910208484,6.707612156295225,-1.1612184816155002,0.4,207.6923076923077,4.1,19.883040935672504,constant/increased
2016,Conglomerates,MMM,1.8855121402154686,22.165259549005146,1.1368387200514551,33.31166407456767,0.3855925389934073,52.650038518079725,53.2425520608456,6.308824047463069,82.14926861702128,-1.5861908513057466,135.39182067786686,1.3743998564009319,43.63497340425532,8.559912645381695,91.75684727361154,-1.7191244377450565,0.5004815835796605,1.7499124389943166,0.23989504799229466,4.557769693618319,0.23424889567903284,3.937433208076202,0.16772393636454216,5.062579133046752,0.28285835814547,-2.626509706027147,0.1534674527441804,3.892988182993884,0.48825292468336073,18.673848670710512,0.2706561247049125,-0.24767071054188072,0.7160073727491847,1.0825223312163734,0.97646407309982,-0.5932954455320272,0.23989504799229466,4.557769693618319,0.3540387771227132,7.2838817254879284,1.1263656579329016,22.54716480260992,0.5079682222539366,18.968908445169653,0.529713999909062,10.603615948410594,36.2964824120603,-22.139708042081995,0.5718454935622318,-3.8284144238097118,3.181475393986271,14.227004869358527,6.855418943533698,-5.934431223363356,8.364849833147941,-7.884966408680938,4.443131462333826,1.6117563836078652,3.5355800845467353,-0.5567007335817831,0.915000303895946,-1.1132326654305302,11.017033239622954,7.356012378631149,8.66876136927402,9.360296685174973,4.428642301967918,44.6011807991195,0.5302970297029703,0.0751872141528942,0.22126274535853066,4.3381363393171,0.7868507955568899,1.8669511489258328,0.5718454935622318,-3.8284144238097118,6.8539094650205765,118.21481225081088,-4.691549295774648,6.7656311701987715,5.29570747217806,-9.263579137136036,0.5302970297029703,0.0751872141528942,8.728774050082183,30.13236076701391,8.728774050082183,30.13236076701391,2.9984957985984257,15.206859843157151,17.877566336633667,9.65546514640967,17.222760396795117,8.393179619681955,13.551742719903933,10.416827331948863,13.551742719903933,10.416827331948863,2.2289288351964243,-82.08183432161358,2.9984957985984257,15.206859843157151,0.0296627079837101,-8.736708124365167,11.444602736575831,9.253432419735397,8.728774050082183,30.13236076701391,1.0,150.0,4.44,8.292682926829297,constant/increased
2017,Conglomerates,MMM,1.857291531156498,-1.4967078947444867,1.1760114478990504,3.445759469366272,0.397164043189801,3.000966830582663,56.623021764538656,6.349187957462776,92.01987375789014,12.015451028402314,148.6428955224288,9.787204853452547,44.36753952877945,1.6788508560261706,104.27535599364936,13.643133010780794,0.49455096819028965,-1.1849817423755238,0.2470227753735351,2.97118570845587,0.23843067883880342,1.7851879931594095,0.15345737119752345,-8.505980408193391,0.35492845786963434,25.47921871451284,0.12788585568747202,-16.669069955406847,0.41800034417484083,-14.38856317226973,0.2580858085808581,-4.644386354736807,0.6436142024377318,-10.11067386547876,0.9652173913043478,-1.1517763024060046,0.2470227753735351,2.97118570845587,0.3672045699844684,3.7187431751838362,1.2002237136465324,6.55720060297067,0.5099924108272198,0.3984872447929,0.5455007625826132,2.9802426736430077,24.285714285714285,-33.090722098059764,0.4473438956197577,-21.771894566644,3.268542419549131,2.7366870643550145,6.446141315414376,-5.970132992460919,8.226735218508997,-1.6511308319203555,3.9665344571145265,-10.726601480500852,3.5706068125422963,0.9906925358205143,0.8333640455945455,-8.921992479543938,10.443514644351465,-5.2057444395177015,8.14560669456067,-6.034941468889022,6.910460251046025,56.04015361491901,0.5769864141622066,8.80438355187243,0.19711280285560856,-10.9145995019586,0.7799679487179487,-0.874733415509843,0.4473438956197577,-21.771894566644,3.3675121424716674,-50.867280058804255,-4.544792425345958,-3.1281110178435823,4.363636363636363,-17.600502169700615,0.5769864141622066,8.80438355187243,10.11719368439167,15.90623868075054,10.11719368439167,15.90623868075054,3.714250402754525,23.870455462724394,24.203792713050635,35.38639576156199,24.159035340045204,40.273886319296516,18.843273237179485,39.04686376242732,18.843273237179485,39.04686376242732,-9.186439506998791,-512.1459313522334,3.714250402754525,23.870455462724394,0.02383867772306184,-19.634182637157238,13.720421294318667,19.8855181794082,10.11719368439167,15.90623868075054,1.83,83.0,4.7,5.8558558558558405,constant/increased
2018,Conglomerates,MMM,1.8924627277747101,1.8936820648889574,1.1392876863611265,-3.1227384396241287,0.39384318056322476,-0.8361438260888088,55.9224782542347,-1.2372061547988422,95.52751468648843,3.811829755197338,151.44999294072312,1.8884840802033231,49.579786596331374,11.747883977588947,101.87020634439175,-2.3065369821457016,0.4908591484816115,-0.7464993390241759,0.21996032351594688,-10.955448062092966,0.21364260643979857,-10.396343507356875,0.16325347169235466,6.383597228589366,0.23385714285714285,-34.111470164773635,0.14654794520547945,14.592770574733404,0.5431559707554834,29.941512806097737,0.2463426305715067,-4.550106057331805,0.7641428571428571,18.72684820325825,0.9712779242403219,0.6278930519252324,0.21996032351594688,-10.955448062092966,0.4006027397260274,9.095248935211142,1.4847684809098294,23.70764416900164,0.576594006621093,13.059330762558563,0.5975480179812015,9.541188384811106,20.591428571428573,-15.211764705882347,0.44036383531664613,-1.5603343135913939,3.706336311941511,13.394162785648355,6.526892430278885,1.2527046943791253,7.361871138570168,-10.512846918823971,3.820888685295465,-3.671864530454938,3.749713893339437,5.016152441316146,0.8976712328767124,7.71657808158599,10.941376380628718,4.7671856959240255,8.261682242990654,1.425008016990259,5.493627867459643,-20.502720978272304,0.0,-100.0,0.19652067755226613,-0.3003992103831954,0.7550861935083087,-3.1900997022427213,0.44036383531664613,-1.5603343135913939,5.317093311312965,57.893812593957115,-4.083069118579582,-10.15939263125375,-4.083069118579582,-193.57033396744876,0.0,-100.0,9.520099004874085,-5.901781641669612,9.520099004874085,-5.901781641669612,2.8614050053410653,-22.961440531337928,17.52737614507385,-27.58417512135144,19.28299773755656,-20.18308071434578,14.560325361080912,-22.729320018816736,14.560325361080912,-22.729320018816736,1.484349667285942,-116.1580519433571,2.8614050053410653,-22.961440531337928,0.0,-100.0,12.136047728579644,-11.547557700688671,9.520099004874085,-5.901781641669612,2.16,18.032786885245898,5.44,15.74468085106384,constant/increased
2019,Conglomerates,MMM,1.406527868141401,-25.67738072203436,0.7852960312296682,-31.071314064852583,0.2551507265235307,-35.21514676002606,54.41607542942494,-2.693734025808636,88.05497198879551,-7.822398313425238,142.47104741822045,-5.9286536421411355,47.45681605975724,-4.281927540065745,95.0142313584632,-6.730108077675434,0.46676624346527257,-4.908313329977898,0.13545556385362212,-38.41818302117485,0.1777445855115758,-16.802837938760273,0.14220811550908638,-12.891215093377916,0.19782913165266106,-15.405991351947012,0.1023309971114445,-30.17234259548095,0.4513134505234051,-16.90905102347181,0.12283771199593645,-50.135422476021695,0.8000700280112045,4.701630137940405,1.3121984838042728,35.10020675396277,0.13545556385362212,-38.41818302117485,0.46037752748606103,14.921212920539094,2.0304167489630656,36.74972058397121,0.6336998987121979,9.904003759205192,0.6700123834973604,12.126952702642635,9.716517857142858,-52.812803524351324,0.3438715953307393,-21.911935596737532,4.410329843966028,18.9943241188423,6.7075767063243585,2.7683047939822236,7.691202872531418,4.473478654574947,4.145137880986938,8.48622460369841,3.153370621136297,-15.903700633331418,0.7195861976309367,-19.83855878672611,12.253032928942808,11.988039737270405,9.308492201039861,12.670663519373893,4.247833622183709,-22.677077431020322,0.7256017505470459,999.0,0.22000248941996514,11.948774124012406,0.7596888260254597,0.6095506124626837,0.3438715953307393,-21.911935596737532,2.324128862590401,-56.28948512817246,-4.1612713360800475,1.9152802764130117,4.372294372294372,-207.08352578208144,0.725601750547046,999.0,8.40484890381197,-11.714690157015495,8.40484890381197,-11.714690157015495,2.648353871048046,-7.44568258933429,18.62308533916849,6.25141598505945,15.84574567119717,-17.82529932918481,12.037835926449787,-17.324402937956485,12.037835926449787,-17.324402937956485,-1.4468704763507827,-197.47504299282204,2.648353871048046,-7.44568258933429,0.0389624886173369,999.0,17.375462495795492,43.172331589281335,8.40484890381197,-11.714690157015495,0.38,-82.4074074074074,5.76,5.88235294117645,constant/increased
2020,Conglomerates,MMM,1.885002516356316,34.01814205410489,1.2258429793658783,56.09947467152898,0.5830397584297936,128.50797502080562,53.3595886154611,-1.9414976284610197,93.17886178861788,5.818967043081158,146.538450404079,2.8548979315908163,56.29418849744053,18.621924459819095,90.24426190663846,-5.0202684204526555,0.48406040268456374,3.7051006711409373,0.13895103156848124,2.5805272337402485,0.20851976137211037,17.314269108090663,0.16930773054934128,19.056306978854074,0.196393980032782,-0.7254500931636487,0.11509378168300101,12.472061185582973,0.4213904570412188,-6.630202013142639,0.11351406234135446,-7.590217615654071,0.8119505289822679,1.484932637783687,1.5006708407871199,14.36309821334616,0.13895103156848124,2.5805272337402485,0.4023952348766475,-12.594509755076844,1.4732812620833655,-27.439464689415573,0.5817917205692109,-8.191287113738621,0.5956788193358764,-11.094356760016034,8.453686200378073,-12.996751257308148,0.4258569103984043,23.84183985560384,3.661279096744258,-16.984007403586375,6.8403825717322,1.979938079315935,6.483795392424834,-15.69855197057347,3.917197452229299,-5.4989830327035305,3.129217306757414,-0.7659522866417579,0.679790469753295,-5.5303628680843815,14.046052631578947,14.633272537780083,11.447368421052632,22.977687189487405,8.72229916897507,105.33523543446002,0.6217654615525785,-14.310369140672986,0.25208177976634355,14.581330616283129,0.8149882903981265,7.279225714294424,0.4258569103984043,23.84183985560384,7.639359698681733,228.69776808189295,-5.405063291139241,29.889710490036347,4.299417064122946,-1.6667978403563821,0.6217654615525784,-14.310369140673007,6.527759956693217,-22.33340502132538,6.527759956693217,-22.33340502132538,2.6227462092965443,-0.966927495280967,15.491000917599557,-16.81828958266901,12.766252873563216,-19.4341930101248,10.404346604215457,-13.569626070788965,10.404346604215457,-13.569626070788965,0.8125081275985998,-156.15624486635897,2.6227462092965443,-0.966927495280967,0.040137203842405135,3.014990229719383,15.482917750274163,-10.892053929380507,6.527759956693217,-22.33340502132538,0.08,-78.94736842105263,5.88,2.083333333333326,constant/increased
2021,Conglomerates,MMM,1.704814609850581,-9.559027372230556,1.0431654676258992,-14.902195045769817,0.5051466519092418,-13.359827592260377,48.10917833404044,-9.839675337937926,96.80899175312582,3.895872835131997,144.91817008716626,-1.1057031874192824,58.143655227454104,3.2853599623301477,86.77451485971216,-3.8448395206732378,0.4683920237590157,-3.2368644158151327,0.1542638947815019,11.020330716633664,0.20376184415217083,-2.2817584235811927,0.16747277612784614,-1.0837983685336727,0.1783731260410883,-9.17586882687833,0.12578602991162474,9.29003120088019,0.39167824303763976,-7.0509935635947985,0.1433867024213266,26.31624616705237,0.8219044975013882,1.225932881846492,1.320865419875321,-11.981669532373196,0.1542638947815019,11.020330716633664,0.3744476546566961,-6.945305957342818,1.1659720844082822,-20.858826185063794,0.5150611105764604,-11.469845244181698,0.53831353266347,-9.630237774168815,11.176229508196721,32.20539825214814,0.42289799160331326,-0.6948152590321555,3.1138453396837997,-14.951981058948938,7.586909871244635,10.913531395121812,6.277555110220441,-3.1808573485422986,3.7703109327983952,-3.7497859431954383,3.436862058909303,9.831364267593145,0.7510834466349422,10.48749284577648,12.87392055267703,-8.344921592182263,10.105354058721934,-11.723343854842872,8.229706390328152,-5.647510697627222,0.5776051342678602,-7.102409190508563,0.2108329797765521,-16.363261171840847,0.7849476790984706,-3.68601753590605,0.42289799160331326,-0.6948152590321555,4.747770700636942,-37.85119580825301,-4.650031191515907,-13.968977955560502,4.102366538249862,-4.5831916963208315,0.5776051342678602,-7.10240919050854,5.688118674340147,-12.86262497278483,5.688118674340147,-12.86262497278483,2.4321111582520154,-7.268528322290846,14.522426954906265,-6.2524943859042725,14.69616988548966,15.117333418351597,11.535724443251944,10.874088321683683,11.535724443251944,10.874088321683683,1.7118310773095748,110.68479430094564,2.4321111582520154,-7.268528322290846,0.03977331998717485,-0.9065999132850444,13.441347536979237,-13.185952713975869,5.688118674340147,-12.86262497278483,1.68,2000.0,5.92,0.6802721088435382,constant/increased
